Device,Trip,dTime
10165,1051,35
10106,1809,35
13107,7632,35
10159,5414,35
10106,5253,35
13110,13824,35
10139,4844,35
10159,9511,35
17102,645,36
10156,54,36
10155,2054,36
10147,1003,36
10605,2617,36
10557,1856,36
13107,7580,36
10173,3345,36
10132,5996,36
13107,755,37
13103,3752,37
10162,819,37
10204,1447,37
10207,3232,37
10164,2464,37
10139,3032,37
13107,7539,37
13105,12820,37
10173,2493,37
10173,2767,37
10190,3341,37
10173,3221,37
13108,11142,37
10160,1806,38
13109,4816,38
10164,2113,38
13105,7821,38
10594,2709,38
10190,3604,38
10176,3638,38
10502,138,39
10120,7,39
10153,612,39
13107,2551,39
17101,1851,39
10140,1634,39
13103,9537,39
13101,10656,39
13110,10953,39
13105,13045,39
10173,3049,39
10615,8853,39
10502,2492,39
17103,370,40
10115,479,40
10125,246,40
13108,1310,40
10153,928,40
13107,3489,40
10574,684,40
10140,1502,40
10190,1467,40
13109,6617,40
10137,4240,40
10222,1353,40
13108,10857,40
10177,19396,40
10580,3334,40
10594,10143,40
13101,2353,41
10592,176,41
10133,1060,41
10615,1087,41
10118,1931,41
10155,1952,41
10154,1219,41
10140,1689,41
10154,1595,41
10150,5809,41
10176,4803,41
551,800,41
10146,663,42
10615,263,42
10154,550,42
10152,352,42
13107,2765,42
10134,765,42
10133,1280,42
10139,2789,42
13103,11246,42
10204,1895,42
10139,4099,42
10173,3258,42
10502,3151,42
10176,5496,42
13105,1774,43
10133,510,43
10515,553,43
10620,573,43
10136,2077,43
10181,1447,43
10224,1888,43
13110,13288,43
10173,3003,43
10610,12,44
10150,679,44
10190,549,44
10139,950,44
10162,836,44
10118,1925,44
13107,4756,44
10620,831,44
10133,1682,44
10173,2371,44
10173,3108,44
10132,4087,44
10224,4758,44
10615,10686,44
10106,140,45
10139,452,45
13110,2963,45
10166,533,45
17102,1822,45
10177,3777,45
10125,1507,45
10224,2151,45
10132,5959,45
10204,187,46
10148,17,46
10149,145,46
10134,295,46
10188,1317,46
10142,1315,46
10161,2122,46
10594,7593,46
10502,3075,46
10177,20710,46
10176,5909,46
10205,455,47
13103,3426,47
10165,1159,47
10164,1098,47
10134,886,47
10181,1303,47
10222,729,47
10173,2507,47
10605,7386,47
10177,9534,47
10150,4584,47
10224,3257,47
10177,20291,47
17102,410,48
13107,630,48
10146,232,48
10190,269,48
10190,326,48
13101,3174,48
10582,1589,48
17102,1805,48
10604,668,48
13110,6330,48
10224,1145,48
10222,1415,48
10173,3137,48
10176,5482,48
10207,238,49
10133,150,49
13107,628,49
10150,535,49
10599,362,49
17101,1590,49
10134,1035,49
10138,2240,49
10616,1175,49
13105,11518,49
10106,4797,49
10106,5539,49
10222,1416,49
10605,7106,49
13103,14699,49
13109,12551,49
10224,3263,49
10224,6001,49
10120,40,50
13106,2504,50
10153,883,50
10116,1708,50
10166,1148,50
10178,1345,50
10178,1493,50
10173,2230,50
